Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,-1.38777878078145E-17,0.04,0,0,0,0.15707963267949,0.000391062835524979,-6.21980377065526E-36,9.88120452211026E-36,0.000391062835524979,7.61962617655533E-36,0.000614574062858504,0,0,0,0,0,0,package://ASSEM 2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/base_link.STL,,base-1,coor1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00277146259382868,-0.000977617047691587,0.0392275940929765,0,0,0,0.10392584627471,8.06918285221046E-05,2.30972045071663E-07,-1.9180114960661E-06,7.3013450070366E-05,2.74033815861125E-07,0.000130206094147028,0,0,0,0,0,0,package://ASSEM 2/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link1.STL,,base top-1;Mg995-1;bracket 3-1,coor2,axis2,joint1,revolute,0,0,0.0652952059846286,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
link2,0.0569964644660941,3.53553390591843E-06,0.0815648422319146,0,0,0,0.0258099114254626,1.44147403776671E-05,1.50244709991666E-22,-5.01044196736082E-21,2.38689128817972E-05,-7.93195981757251E-22,1.12484016319642E-05,0,0,0,0,0,0,package://ASSEM 2/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link2.STL,,arm4-1;arm4-2,coor3,axis2,joint2,revolute,0.0142446661070031,-0.0815648422319146,0.0779494601223742,-1.5707963267949,0,0,link1,0,0,-1,0.8357,5.235,-3.14,3.14,,,,,,,,
link3,0.046197265017532,0.000921908863603743,0.0830187996806798,0,0,0,0.0698780274199756,2.44614411888194E-05,1.52392496270811E-08,3.5709307046447E-07,4.70199977946402E-05,3.04492741754066E-08,2.75333599269246E-05,0,0,0,0,0,0,package://ASSEM 2/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link3.STL,,bracket 3-3;Mg995-2;arm 1-5;arm 1-6,coor4,axis3,joint3,revolute,0.113996464466094,0,0,0,0,0,link2,0,0,-1,0.83357,5.235,-3.14,3.14,,,,,,,,
link4,0.0314868755239738,0.0019170991270448,0.0215200689134932,0,0,0,0.0770831626214746,1.81599660334155E-05,2.87203989654407E-06,4.28919539038607E-07,3.64659853084218E-05,5.40034548023353E-08,3.35780702510268E-05,0,0,0,0,0,0,package://ASSEM 2/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link4.STL,,bracket 3-5;Mg995-4;GRIPPER 1-1;HCSR04 Ultrasonic Sensor-1;Servo-MG90S-3,coor5,axis4,joint4,revolute,0.164135,0,0.0592138803375937,0,0,0,link3,0,0,-1,0.83357,5.235,-3.14,3.14,,,,,,,,
gripkiri,0.0140725750696402,-3.99786310250339E-05,-0.0537459245884662,0,0,0,0.00468228410417343,2.37887235512241E-07,-6.78988706974305E-08,-1.14877427543648E-22,2.06560886388221E-06,-3.84647594318598E-24,2.29101000844999E-06,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkiri.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkiri.STL,,grip kiri-1,coor7,Axis5,gripkiri,revolute,0.083525,0.0779459245884686,0.0395009618943229,-1.57079632679492,0,0,link4,0,0,-1,0.21575,10.47,-3.14,3.14,,,,,,,,
endkiri,-0.343708506679782,0.00010287486843924,0.0204662433594579,0,0,0,0.443141170884827,0.00146787791830436,-1.44636011547407E-05,0.00186172597660297,0.00928119668905264,2.51965619442872E-06,0.00867223786281813,0,0,0,0,0,0,package://ASSEM 2/meshes/endkiri.STL,1,1,1,1,0,0,0,0,0,0,package://ASSEM 2/meshes/endkiri.STL,,,coor9,Axis7,endkiri,fixed,0.064689,0.017215,-0.051746,0,0,0,gripkiri,0,0,0,,,,,,,,,,,,
gripkanan,0.0140530439209312,0.000742242506165516,-0.00199999999999999,0,0,0,0.00468228410417342,2.3567072390795E-07,-2.35409753323601E-08,-2.86392443881652E-23,2.06782537548649E-06,1.7069344747454E-23,2.29101000844998E-06,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkanan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkanan.STL,,grip kanan-1,coor6,Axis6,gripkanan,revolute,0.083475,0.0262,0.003701,-1.5708,0,0,link4,0,0,-1,0.21575,10.47,-3.14,3.14,,,,,,,,
endkanan,-0.344437034985364,-0.00451712104558855,0.0204662433594592,0,0,0,0.443141170884827,0.00146787791830436,-1.44636011547412E-05,0.00186172597660296,0.00928119668905264,2.51965619442887E-06,0.00867223786281813,0,0,0,0,0,0,package://ASSEM 2/meshes/endkanan.STL,1,1,1,1,0,0,0,0,0,0,package://ASSEM 2/meshes/endkanan.STL,,,coor8,Axis8,endkanan,fixed,0.0654673705371463,-0.0139650776923003,0,0,0,0,gripkanan,0,0,0,,,,,,,,,,,,
